,Name,Rating,Review,Salaries,Jobs
225,Reliance Projects & Property Management Services,4.0,3.4k,7.2k,197
226,"NTT DATA, Inc.",3.9,3.3k,21.3k,144
227,Johnson Controls,3.5,3.3k,16.6k,291
228,MRF Tyres,3.6,3.3k,12.2k,352
229,Alkem Laboratories,3.9,3.3k,9.5k,185
230,Reliance Digital,4.1,3.3k,7.9k,152
231,Ford Motor,4.2,3.3k,14.7k,171
232,IGT Solutions,3.3,3.3k,13.2k,242
233,Honda Motorcycle & Scooter,4.1,3.3k,10.7k,186
234,Vishal Mega Mart,3.7,3.3k,6.1k,191
235,UBS,3.9,3.3k,30.7k,366
236,24/7 Customer,3.4,3.2k,11.4k,180
237,Hindustan Coca Cola Beverages,4.0,3.2k,7.5k,166
238,Ceat Tyres,3.9,3.2k,12.6k,198
239,Reliance Nippon Life Insurance,3.4,3.2k,8.2k,160
240,DTDC Express,3.7,3.2k,8.4k,181
241,HARMAN,3.8,3.2k,23.9k,288
242,ABB,4.1,3.2k,16.9k,268
243,ArcelorMittal Nippon Steel,4.1,3.2k,11.1k,260
244,Indian Air Force,4.6,3.1k,5k,76
245,NatWest Group,4.0,3.1k,20.2k,231
246,PhonePe,4.0,3.1k,12.1k,380
247,RSPL Group,4.1,3.1k,9.4k,235
248,UNO Minda,4.0,3.1k,10.5k,223
249,Barclays,3.7,3.1k,29.2k,297
250,Marpu Foundation,4.8,3.1k,55,222
251,InterGlobe Aviation,3.5,3.1k,13.3k,353
252,GeBBS Healthcare Solutions,3.7,3.1k,11.3k,172
253,Conduent,3.4,3.1k,16.7k,220
254,Tata Technologies,3.4,3.1k,21.9k,298
255,AGS Health,4.0,3.1k,13.7k,197
256,Alstom Transportation,3.7,3k,14.1k,272
257,Future Group,4.2,3k,6.9k,81
258,Tata AIG,4.0,3k,11.2k,183
259,TVS Credit Services Ltd,4.2,3k,7k,142
260,Max Healthcare,3.9,3k,10.1k,174
261,Cloudnine Hospital,4.5,3k,2.7k,866
262,UPL,4.1,3k,10.8k,208
263,Dilip Buildcon,3.9,3k,8k,169
264,Croma,3.8,3k,8.7k,168
265,Amazon Transportation Services,4.2,3k,8.1k,247
266,PepsiCo,4.0,3k,12.5k,227
267,Walmart,3.5,3k,21k,427
268,Titan Company,4.3,2.9k,9.3k,183
269,Bajaj General Insurance Limited,3.8,2.9k,9.1k,117
270,S&P Global,4.0,2.9k,19.6k,317
271,Varroc Group,3.6,2.9k,9.3k,211
272,Mankind Pharma,3.8,2.9k,9.1k,236
273,Blinkit,3.8,2.9k,11.3k,283
274,CMS IT Services,3.0,2.9k,9.5k,151
275,Societe Generale Global Solution Centre,3.7,2.9k,22k,289
276,MSN Laboratories,3.6,2.9k,9.2k,161
277,Afcons Infrastructure,4.2,2.9k,8.3k,250
278,Torrent Pharmaceuticals,4.0,2.8k,10.1k,149
279,Square Yards,3.7,2.8k,9k,222
280,Jindal Stainless,4.2,2.8k,10.9k,293
281,I Process Services,3.9,2.8k,5.3k,124
282,Zensar Technologies,3.7,2.8k,25.2k,269
283,ACC,3.9,2.8k,9k,225
284,HDFC Sales,3.9,2.8k,8.1k,186
285,Quest Global,3.5,2.8k,20.2k,338
286,Shoppers Stop,4.0,2.8k,6.9k,131
287,Nokia,4.0,2.8k,15.6k,303
288,Fujitsu,3.8,2.8k,16.9k,207
289,UnitedHealth,4.0,2.8k,14.8k,84
290,IDFC FIRST Bharat,4.2,2.8k,5.1k,131
291,Suzlon Group,4.0,2.7k,7.4k,158
292,Apollo Tyres,4.0,2.7k,9.6k,146
293,DS Group,4.1,2.7k,7.3k,200
294,Eternal Limited,3.6,2.7k,13.7k,348
295,Fiserv,2.8,2.7k,17.5k,191
296,Whitehat jr,3.3,2.7k,9.5k,263
297,Tata Elxsi,3.6,2.7k,21.5k,330
298,Indus Towers,3.6,2.7k,8.7k,213
299,IKS Health,3.5,2.7k,10.7k,256
300,VVDN Technologies,3.6,2.7k,12.9k,240
301,Yazaki,3.9,2.7k,8.6k,166
302,ESAF Small Finance Bank,3.6,2.7k,7.3k,150
303,Landmark Group,3.9,2.6k,9k,165
304,Shree Cement,3.8,2.6k,9.5k,190
305,Flex,3.9,2.6k,15.9k,207
306,Britannia,4.0,2.6k,8k,210
307,Capita,3.5,2.6k,13k,161
308,Blue Dart Express Ltd,3.9,2.6k,6.7k,120
309,SRF,4.1,2.6k,8.6k,203
310,Ola Electric Mobility,3.3,2.6k,8.7k,274
311,ElasticRun,3.6,2.6k,6.1k,265
312,Shell,3.9,2.6k,13.5k,224
313,Exide Industries,3.4,2.6k,8.3k,200
314,Micro Labs,3.6,2.5k,9.5k,143
315,Kansai Nerolac Paints,3.8,2.5k,7.5k,182
316,KPMG Global Services,3.5,2.5k,22.9k,242
317,Dalmia Bharat Cement,3.9,2.5k,8.3k,181
318,Sahrudaya Healthcare (Medicover Hospitals),4.5,2.5k,3.3k,136
319,TVS Supply Chain Solutions,3.8,2.5k,8.3k,146
320,Sagility,3.9,2.5k,10.2k,224
321,G4S,4.0,2.5k,5k,123
322,Nestle,3.8,2.5k,9.4k,268
323,Bharat Financial Inclusion,3.8,2.5k,4.7k,108
324,BlackBuck,3.7,2.5k,6.1k,203
325,KFintech,3.4,2.5k,10.9k,164
326,GATI-KWE,3.9,2.5k,4.9k,94
327,Voltas,4.0,2.5k,8.4k,165
328,ZS,3.2,2.5k,19k,499
329,Domino's Pizza,3.9,2.5k,4k,113
330,Bajaj Electricals,3.9,2.5k,7.5k,143
331,Sonalika Tractors,3.6,2.4k,8.8k,157
332,ACT Fibernet,3.9,2.4k,7.6k,155
333,Ajanta Pharma,3.9,2.4k,8.7k,146
334,Star Health & Allied Insurance,3.5,2.4k,9.4k,144
335,Sterlite Technologies,3.8,2.4k,10k,175
336,Sammaan Capital Limited,3.8,2.4k,6.1k,111
337,suzuki motor gujarat,4.2,2.4k,7.9k,215
338,Blue Star,4.1,2.4k,9.3k,189
339,Statestreet HCL Services,3.4,2.4k,14.3k,217
340,Care Health Insurance,3.5,2.4k,8.5k,149
341,Fortis Healthcare,4.0,2.4k,7.3k,171
342,NoBroker,3.1,2.4k,10.2k,272
343,Movate,3.2,2.4k,14.5k,281
344,Alldigi Tech,3.9,2.4k,7.3k,222
345,Paras Hospital,4.1,2.4k,3k,95
346,Tractors and Farm Equipment,4.0,2.4k,8.2k,126
347,DBS Bank,3.8,2.4k,12.6k,187
